COMPANY NAME,FIELD,RATINGS,LOCATION,REVIEW,SALARY,JOB
Coforge,IT Services & Consulting ,3.3,Noida,6.7k,50.1k,169
Bajaj Life Insurance,Insurance ,3.8,Pune,6.5k,17.3k,63
Cholamandalam Investment & Finance,Financial Services ,3.8,Chennai,6.5k,12.7k,31
L&T Technology Services,IT Services & Consulting ,3.1,Bengaluru,6.5k,43.4k,--
FIS,FinTech ,3.8,Pune,6.5k,39k,116
Oracle,Software Product ,3.5,Bengaluru,6.3k,63.3k,119
Omega Healthcare,BPO ,3.8,Chennai,6.3k,26.9k,160
Muthoot Finance,NBFC ,3.7,Bengaluru,6.3k,12.9k,115
IIFL Finance,NBFC ,4.0,Mumbai,6.3k,14k,67
JLL,Real Estate ,4.1,Gurugram,6.3k,24.4k,381
Indian Army,Defence & Aerospace ,4.7,New Delhi,6.2k,9.4k,--
eClerx,IT Services & Consulting ,3.1,Pune,6.2k,32.5k,642
HCL Group,IT Services & Consulting ,3.5,Chennai,6.1k,39.3k,--
DMart,Retail ,3.9,Mumbai,6k,18.4k,205
Virtusa Consulting Services,IT Services & Consulting ,3.7,Hyderabad,6k,57k,1.2k
Piramal Finance,NBFC ,4.2,Mumbai,6k,12.3k,7
Indiamart Intermesh,Internet ,3.5,Noida,5.9k,21.5k,168
HSBC Group,Financial Services ,3.9,Bengaluru,5.9k,43.9k,127
PolicyBazaar,Internet ,3.8,Gurugram,5.9k,17.5k,717
SMFG India Credit,NBFC ,3.9,Mumbai,5.8k,11k,57
Access Healthcare,BPO ,3.7,Chennai,5.8k,28.8k,1.8k
BigBasket,Internet ,3.9,Bengaluru,5.8k,19.3k,77
Siemens,Industrial Automation ,3.9,Bengaluru,5.7k,34.1k,82
Aurobindo Pharma,Pharma ,4.0,Hyderabad,5.7k,20.7k,23
Udaan,Internet ,3.9,Bengaluru,5.7k,15.7k,8
GlobalLogic,IT Services & Consulting ,3.5,Hyderabad,5.7k,41.1k,34
Manappuram Finance,NBFC ,3.9,Bengaluru,5.7k,9.2k,13
Firstsource Solutions,BPO ,3.5,Bengaluru,5.7k,24.6k,163
ICICI Lombard General Insurance Company,Insurance ,3.5,Mumbai,5.7k,20.3k,214
Tata Capital,NBFC ,4.0,Mumbai,5.7k,15.9k,4.8k
Shapoorji Pallonji Group,Engineering & Construction ,4.1,Mumbai,5.6k,15.4k,66
Standard Chartered,Banking ,3.6,Chennai,5.6k,42.2k,--
Apollo Hospitals,Healthcare ,4.1,Chennai,5.6k,16.6k,229
UST,IT Services & Consulting ,3.7,Bengaluru,5.6k,39.9k,96
Mahindra Finance,NBFC ,3.9,Mumbai,5.6k,12.1k,523
Bosch Global Software Technologies,IT Services & Consulting ,3.7,Bengaluru,5.6k,40.5k,19
Ashok Leyland,Automobile ,4.0,Chennai,5.5k,18.9k,1
Swiggy,Internet ,3.7,Bengaluru,5.5k,23.5k,236
Citicorp,Financial Services ,3.7,Pune,5.5k,53.4k,--
Hero MotoCorp,Automobile ,4.1,Gurugram,5.4k,15.9k,1
CGI Group,IT Services & Consulting ,4.0,Bengaluru,5.3k,46.3k,591
Cyient,IT Services & Consulting ,3.6,Hyderabad,5.3k,27.6k,82
SBI Cards & Payment Services,Financial Services ,3.6,Gurugram,5.2k,15.9k,69
BNY,Financial Services ,3.6,Pune,5.2k,31.4k,29
Kalpataru Projects International,Engineering & Construction ,4.2,Mumbai,5.2k,13.8k,4
IQVIA,Clinical Research ,3.7,Bengaluru,5.2k,31.2k,40
NTT DATA,IT Services & Consulting ,3.8,Bengaluru,5.2k,36.5k,81
Nagarjuna Construction Company,Engineering & Construction ,4.0,Hyderabad,5.1k,12.2k,17
JustDial,Internet ,3.5,Noida,5.1k,15.2k,91
SBI Life Insurance Company,Insurance ,3.7,Mumbai,5.1k,12.1k,1
Schneider Electric,Industrial Automation ,4.1,Bengaluru,5.1k,25k,169
CBRE,Real Estate ,4.1,Hyderabad,5k,18.9k,197
TVS Motor,Automobile ,3.9,Hosur,5k,16.1k,11
Persistent Systems,IT Services & Consulting ,3.6,Pune,5k,45.6k,290
State Bank of India,Banking ,3.8,Mumbai,4.9k,11.8k,10
Atos,IT Services & Consulting ,3.8,Pune,4.9k,33.9k,85
vivo,Consumer Electronics & Appliances ,4.1,Noida,4.9k,13k,5
KEC International,Engineering & Construction ,4.0,Mumbai,4.8k,13.5k,14
Ecom Express,Logistics ,4.0,Gurugram,4.8k,9.4k,--
Amdocs,Software Product ,3.6,Pune,4.8k,37.2k,15
ITC Infotech,IT Services & Consulting ,3.8,Bengaluru,4.8k,29.8k,76
JBM Group,Auto Components ,3.9,Gurugram,4.8k,14k,67
Eviden,IT Services & Consulting ,3.6,Pune,4.8k,27.7k,1
Varun Beverages,Beverage ,4.0,New Delhi,4.8k,11.9k,55
Nagarro,IT Services & Consulting ,3.9,Gurugram,4.7k,32.9k,337
Bosch,Auto Components ,4.1,Bengaluru,4.6k,21k,--
Randstad,Recruitment ,3.7,Hyderabad,4.6k,16.7k,5
Utkarsh Small Finance Bank,Banking ,3.6,Varanasi,4.6k,11.4k,18
EY Global Delivery Services ( EY GDS),IT Services & Consulting ,3.5,Bengaluru,4.6k,50.6k,9
Hewlett Packard Enterprise,IT Services & Consulting ,4.1,Bengaluru,4.6k,27.3k,296
Aditya Birla Fashion and Retail,Fashion & Textile ,4.0,Bengaluru,4.6k,13k,93
Home Credit Finance,NBFC ,4.0,Gurugram,4.5k,9.5k,94
Cars24,Internet ,3.5,Gurugram,4.6k,15.5k,65
L&T Finance,NBFC ,3.9,Mumbai,4.5k,11.3k,--
Mahindra Logistics,Logistics ,3.7,Mumbai,4.5k,12.9k,60
Havells,Electrical Equipment ,3.9,Noida,4.5k,14.9k,21
Dell,Consumer Electronics & Appliances ,3.8,Bengaluru,4.5k,28.9k,31
R1 RCM,BPO ,3.8,New Delhi,4.5k,22k,219
Intas Pharmaceuticals,Pharma ,4.1,Ahmedabad,4.5k,17.2k,52
OPPO,Consumer Electronics & Appliances ,3.9,Greater Noida,4.5k,11.9k,3
Tata AIA Life Insurance,Insurance ,3.9,Mumbai,4.4k,14.2k,730
Hetero,Pharma ,3.9,Hyderabad,4.4k,15.3k,60
Hyundai Motor India Limited,Automobile ,4.1,Chennai,4.4k,14.2k,--
Deutsche Bank,Banking ,3.8,Pune,4.4k,36.8k,642
Motilal Oswal Financial Services,Financial Services ,3.7,Mumbai,4.4k,12.9k,41
Berger Paints,Chemicals ,3.7,Kolkata,4.4k,10.7k,111
TeamLease Services,Recruitment ,3.9,Bengaluru,4.3k,16.3k,2
Lenskart,Internet ,3.3,New Delhi,4.3k,13k,184
VE Commercial Vehicles,Automobile ,3.9,Indore,4.3k,14.1k,2
Thermax Limited,Industrial Machinery ,4.2,Pune,4.2k,13.2k,63
Macleods Pharmaceuticals,Pharma ,3.7,Mumbai,4.2k,15.6k,7
Bajaj Auto,Automobile ,3.8,Pune,4.2k,14.5k,--
Jubilant Foods Works,Hospitality ,3.7,New Delhi,4.2k,9.5k,259
Aakash Educational Services,Education & Training ,3.2,New Delhi,4.2k,13.7k,98
Kogta Financial India Limited,NBFC ,4.7,Jaipur,4.1k,1.9k,137
LG Electronics,Consumer Electronics & Appliances ,3.9,Pune,4.1k,11.2k,--
Hindalco Industries,Metals & Mining ,4.2,Sambalpur,4.1k,12.8k,12
Jindal Steel Limited,Iron & Steel ,3.9,Angul,4.1k,15.8k,36
Royal Enfield,Automobile ,4.2,Chennai,4.1k,14.9k,16
State Street Corporation,Financial Services ,3.5,Bengaluru,4.1k,32.4k,6
DCB Bank,Banking ,3.8,Mumbai,4k,9.7k,22
HDFC Ergo General Insurance,Insurance ,4.0,Mumbai,4k,12.1k,313
Tata Communications,Telecom ,3.9,Pune,4k,23.4k,238
John Deere,Industrial Machinery ,4.0,Pune,4k,15.3k,3
RBL Bank,Banking ,3.5,Mumbai,4k,18.5k,33
Cummins,Industrial Machinery ,4.3,Pune,3.9k,15.5k,96
Publicis Sapient,IT Services & Consulting ,3.3,Bengaluru,3.9k,31.4k,205
Bank of America,Banking ,4.1,Gurugram,3.9k,28.8k,--
Alembic Pharmaceuticals,Pharma ,3.9,Vadodara,3.9k,15.4k,65
Pidilite Industries,Chemicals ,4.2,Mumbai,3.9k,11.6k,19
Oyo Rooms,Internet ,3.0,Gurugram,3.9k,14.3k,159
American Express,Financial Services ,4.1,Gurugram,3.8k,25.2k,165
Subros,Auto Components ,3.8,Noida,3.8k,12.6k,1
