COMPANY NAME,FIELD,RATINGS,LOCATION,REVIEW,SALARY,JOB
Wistron,Electronics Manufacturing ,4.0,Bengaluru,1.1k,5.2k,--
Jacobs Engineering Group,Engineering & Construction ,4.2,Mumbai,1.1k,5k,32
Balkrishna Industries,Auto Components ,4.0,Bhuj,1.1k,4.1k,--
Onward Technologies Inc,IT Services & Consulting ,2.9,Pune,1.1k,6.1k,41
Jabil Circuit India,Electronics Manufacturing ,4.0,Pune,1.1k,4.2k,71
Navitasys India,Electronics Manufacturing ,4.1,Bawal,1.1k,2.7k,--
Wonder Home Finance,NBFC ,4.6,Jaipur,1.1k,739,--
Saipem,Engineering & Construction ,4.2,Chennai,1.1k,3.3k,6
Kohler,Building Material ,3.7,Pune,1.1k,4.9k,10
Advantmed,Healthcare ,4.2,Ahmedabad,1.1k,2.7k,26
VMware Software,Software Product ,4.4,Bengaluru,1.1k,9.1k,18
Hyundai Mobis,Auto Components ,3.7,Chennai,1.1k,5.1k,10
Motilal Oswal Home Finance,NBFC ,4.3,Mumbai,1.1k,1.3k,--
Sundaram Finance,NBFC ,4.0,Chennai,1.1k,2.9k,12
Unicharm,FMCG ,3.9,Gurugram,1.1k,3k,2
TK Elevator,Industrial Machinery ,3.8,Pune,1.1k,4.2k,6
V2 Retail,Retail ,3.3,New Delhi,1.1k,2.6k,47
Zydus Wellness,FMCG ,4.1,Ahmedabad,1.1k,2.7k,29
Stanza Living,Internet ,3.0,Bengaluru,1.1k,3.6k,5
Asirvad Microfinance,NBFC ,3.8,Chennai,1.1k,2.1k,18
Air India Sats Airport Services,Aviation ,3.6,New Delhi,1.1k,2.4k,2
Sri Chaitanya Educational Institutions,Education & Training ,3.7,Hyderabad,1.1k,3k,2
Hikal,Pharma ,3.8,Bengaluru,1.1k,4.7k,64
Kirloskar Brothers,Industrial Machinery ,3.8,Pune,1.1k,4.3k,25
Svatantra Microfin,NBFC ,3.9,Mumbai,1.1k,2.1k,3
CALIBEHR,IT Services & Consulting ,4.0,Mumbai,1.1k,2.7k,22
Jet Airways,Aviation ,4.6,Mumbai,1.1k,1.9k,--
Syngenta,Agriculture ,4.2,Pune,1.1k,3.6k,15
MAHLE ANAND Filter Systems,Auto Components ,4.0,Pune,1.1k,3.4k,--
Godrej Agrovet,Agriculture ,3.9,Mumbai,1.1k,3.4k,1
Tube Investments of India,Engineering & Construction ,3.8,Chennai,1.1k,3.6k,6
Amazon Sellers Services,Internet ,4.0,Bengaluru,1.1k,2.5k,--
Adani Ports and SEZ,Ports & Shipping ,3.7,Mundra,1.1k,3.9k,--
GAIL,Oil & Gas ,4.4,New Delhi,1.1k,3.2k,--
Aarvi Encon,Recruitment ,3.9,Mumbai,1.1k,3k,--
Northcorp Software,IT Services & Consulting ,4.8,Gurugram,1.1k,213,5
MG Motor,Automobile ,3.8,Vadodara,1.1k,4.6k,19
Metropolis Healthcare,Healthcare ,3.9,Mumbai,1.1k,3.6k,--
Gmmco,Industrial Machinery ,4.0,Chennai,1.1k,2.9k,4
Nexa,Automobile ,4.0,New Delhi,1.1k,2.2k,1
Vedanta Aluminium,Metals & Mining ,3.8,Jharsuguda,1.1k,4.5k,--
Knorr-Bremse,Auto Components ,3.3,Pune,1.1k,5k,6
HPCL-Mittal Energy Limited,Petrochemicals ,4.3,Bathinda,1.1k,4.6k,--
Power Grid Corporation of India,Power ,4.3,Gurugram,1.1k,2k,--
Vayona Energy,Power ,4.0,Bengaluru,1.1k,4.9k,5
1point1 Solutions,BPO ,3.3,Bengaluru,1.1k,3.1k,65
Pernod Ricard,Beverage ,3.5,Gurugram,1k,4.4k,4
Klm Axiva Finvest,NBFC ,4.4,Bengaluru,1k,767,4
TÜV NORD,"Testing, Inspection and Certification (TIC) ",3.8,Pune,1k,4k,35
TKIL,Industrial Machinery ,4.1,Pune,1k,4.5k,5
Kinara Capital,NBFC ,4.2,Bengaluru,1k,2.2k,36
Tata Capital Housing Finance,NBFC ,3.9,Mumbai,1k,3.2k,--
Bharat Sanchar Nigam,Telecom ,3.9,Bengaluru,1k,2.5k,--
Bajaj Capital Insurance Broking Limited,Insurance ,4.4,New Delhi,1k,1.2k,36
Spencer's Retail,Retail ,3.8,Kolkata,1k,2.8k,1
Zf Rane Automotive,Auto Components ,4.0,Chennai,1k,3.8k,--
Dana Anand,Auto Components ,4.0,Pune,1k,2.9k,--
Thermo Fisher Scientific,Biotechnology ,3.7,Bengaluru,1k,6.5k,177
Greenko Group,Power ,3.9,Hyderabad,1k,3.7k,3
GlobalData,Analytics & KPO ,3.3,Hyderabad,1k,5.6k,23
Hindustan Zinc,Metals & Mining ,3.8,Udaipur,1k,4.3k,--
Nippon Life India Asset Management,Financial Services ,4.6,Mumbai,1k,1.6k,87
Aspire Systems,IT Services & Consulting ,3.8,Chennai,1k,9.6k,38
Wheels,Auto Components ,3.9,Chennai,1k,5k,--
Gharda Chemicals Limited,Agro Chemicals ,4.0,Mumbai,1k,4.5k,5
Netcracker Technology,IT Services & Consulting ,3.0,Hyderabad,1k,9.2k,1
ValueMomentum,IT Services & Consulting ,3.2,Hyderabad,1k,8.8k,11
Ceasefire Industries,Industrial Machinery ,3.1,New Delhi,1k,2.4k,15
Allianz Technology,IT Services & Consulting ,4.0,Pune,1k,6.7k,12
Lakshmi Machine Works,Industrial Machinery ,3.8,Coimbatore,1k,4.3k,4
SYSKA LED Lights,Consumer Electronics & Appliances ,2.9,Pune,1k,2.5k,--
BirlaNu,Building Material ,3.9,Hyderabad,1k,2.9k,7
Amara Raja Group,Auto Components ,4.1,Tirupati,1k,3.5k,--
Uber,Internet ,4.1,Hyderabad,1k,8.3k,2
Sahara India Pariwar,Broadcasting ,3.8,Lucknow,1k,2.5k,--
Fractal Analytics,Analytics & KPO ,4.0,Bengaluru,1k,10.5k,168
Otis Elevator,Industrial Machinery ,4.1,Bengaluru,1k,4k,95
iQor Global Services,BPO ,3.3,Noida,1k,2.6k,10
Incheon Motors,Automobile ,4.7,Kochi,1k,326,6
Crompton Greaves Consumer Electricals,Consumer Electronics & Appliances ,3.7,Mumbai,1k,3.8k,19
Hitachi Energy,Power ,4.1,Chennai,1k,7.3k,691
Vistaar Finance,NBFC ,3.9,Bengaluru,1k,1.9k,14
Malabar Gold and Diamonds,Jewellery ,4.0,Hyderabad,1k,2.6k,68
Encora,IT Services & Consulting ,3.4,Bengaluru,1k,8.2k,34
SLMG Beverages,Beverage ,3.9,Lucknow,1k,3.3k,8
IIFL Home Finance,NBFC ,3.8,Gurugram,1.1k,2.9k,184
Suzuki Motorcycle,Automobile ,4.0,Gurugram,1k,3.9k,1
Hinduja Housing Finance,NBFC ,3.7,New Delhi,1k,2.7k,39
Temenos,Software Product ,3.2,Chennai,1k,8.9k,4
Vertiv,Electronics Manufacturing ,3.9,Pune,1k,4.4k,102
ALLEN Career Institute,Education & Training ,3.8,Kota,1k,4.2k,30
NBC Bearings,Auto Components ,3.9,Jaipur,1k,3.6k,7
MakeMyTrip,Internet ,3.4,Gurugram,1k,7.3k,7
GVPR Engineers,Engineering & Construction ,3.8,Hyderabad,1k,3k,13
Lemon Tree Hotels,Hospitality ,4.0,New Delhi,1k,2.8k,1
Shyam Steel Group,Iron & Steel ,3.5,Kolkata,1k,3.6k,8
SitusAMC,Financial Services ,3.3,Bengaluru,1k,5.4k,1
IB Group,Food Processing ,3.7,Rajnandgaon,1k,3.3k,2
Visionet Systems,IT Services & Consulting ,3.3,Bengaluru,1k,5.9k,32
TradeIndia (Infocom Network Private Limited),Internet ,3.3,New Delhi,1k,4.3k,36
Perfetti Van Melle,FMCG ,4.2,Gurugram,998,2.8k,24
Hitachi Payment Services,FinTech ,3.6,Mumbai,998,3.4k,--
Atlas Copco,Industrial Machinery ,4.1,Pune,998,5.2k,1
Westside,Retail ,3.8,Mumbai,995,2.1k,--
QX Global Group,BPO ,3.0,Ahmedabad,996,4.3k,43
Bounteous x Accolite,IT Services & Consulting ,3.2,Bengaluru,995,8.1k,127
Innodata India Private Limited,IT Services & Consulting ,3.5,Noida,995,2.8k,38
eClinicalWorks,Software Product ,3.6,Mumbai,994,4.9k,16
Secure Meters,Electronics Manufacturing ,3.9,Udaipur,992,4.5k,29
CarDekho Group,Internet ,3.6,Gurugram,992,5k,57
Thomas Cook,Travel & Tourism ,4.0,Mumbai,990,3.7k,--
Fortrea Development India Private Limited,Clinical Research ,3.9,Bengaluru,991,4.9k,58
United Breweries,Beverage ,3.3,Bengaluru,990,3.3k,8
Syrma SGS Technologies,Electronics Manufacturing ,4.0,Chennai,991,3.3k,6
AstraZeneca,Pharma ,3.9,Chennai,989,7.2k,8
JW Marriott,Hospitality ,4.2,Mumbai,987,2k,--
Mastek,IT Services & Consulting ,3.6,Mumbai,987,6.6k,17
ALTEN,IT Services & Consulting ,3.6,Bengaluru,989,6k,15
Tata Cummins,Auto Components ,4.4,Jamshedpur,989,1.3k,--
Comviva Technology,Software Product ,2.9,Gurugram,989,6.1k,171
Pristyn Care,Internet ,3.2,Gurugram,985,4.1k,14
Škoda Auto Volkswagen,Automobile ,4.0,Pune,985,4.6k,13
Amazon Web Services,IT Services & Consulting ,3.8,Bengaluru,983,6.5k,--
Cult.fit,Fitness & Wellness ,3.6,Bengaluru,981,4.1k,157
MasterCard,FinTech ,3.8,Pune,981,11.9k,583
Colgate Palmolive,FMCG ,4.0,Mumbai,993,4.4k,24
Collins Aerospace,Defence & Aerospace ,3.8,Bengaluru,981,7.5k,19
Star Cement,Building Material ,4.1,Guwahati,980,3.1k,3
Rebel Foods,Hospitality ,3.7,Mumbai,976,3.4k,19
Vaco Binary Semantics,IT Services & Consulting ,3.1,Gurugram,976,5.2k,55
Mahindra Automotives,Automobile ,3.8,Pune,978,5k,--
Arohan Financial Services,NBFC ,3.9,Kolkata,975,2.1k,15
Aparajitha Corporate Services,Legal ,3.8,Madurai,976,3k,33
Everest Industries,Building Material ,3.8,Mumbai,975,3.2k,2
Siemens Energy,Power ,4.1,Pune,974,5.7k,--
C&S Electric,Electrical Equipment ,4.0,Noida,972,3.7k,10
Xebia,IT Services & Consulting ,3.1,Gurugram,974,6.3k,19
Pizza Hut,Hospitality ,4.0,New Delhi,971,1.9k,--
Softenger,IT Services & Consulting ,3.9,Pune,967,2.6k,6
Altisource,Real Estate ,3.4,Bengaluru,966,3.7k,54
Unity Small Finance Bank,Banking ,3.6,Mumbai,1k,4.1k,28
Merino Industries,Building Material ,3.8,New Delhi,966,3.4k,12
Barclays Global Service Centre,IT Services & Consulting ,3.9,Pune,965,8k,--
VIP Industries,Retail ,3.7,Mumbai,965,3k,11
Natco Pharma,Pharma ,4.0,Hyderabad,964,3.5k,3
Lowe's,Retail ,4.1,Bengaluru,963,10k,47
Kendriya Vidyalaya Sangathan,Education & Training ,4.3,New Delhi,963,1.6k,--
Napino Auto & Electronics,Auto Components ,3.8,Gurugram,961,3.9k,--
TechnipFMC,Engineering & Construction ,3.9,Hyderabad,962,4.9k,56
Tiger Analytics,IT Services & Consulting ,3.7,Bengaluru,962,9.4k,46
Quantiphi Analytics Solutions Private Limited,IT Services & Consulting ,3.1,Bengaluru,962,7.2k,56
Capacit'e Infraprojects,Engineering & Construction ,3.7,Mumbai,962,3.3k,12
Lumina Datamatics,IT Services & Consulting ,3.2,Mumbai,961,4.6k,51
Wonder Cement,Building Material ,4.2,Nimbahera,959,3.5k,79
J B Chemicals And Pharmaceuticals,Pharma ,3.9,Mumbai,958,3.2k,--
General Mills,Food Processing ,4.1,Mumbai,957,5.1k,12
Nasser S. Al Hajri Corporation,Engineering & Construction ,3.6,Chennai,956,1.8k,--
Pricol,Auto Components ,3.9,Coimbatore,956,4.3k,15
Yokohama Off-Highway Tires,Auto Components ,3.6,Bharuch,956,4k,9
Gannon Dunkerley & Co.,Engineering & Construction ,3.4,Kolkata,954,2k,1
LOREAL,Beauty & Personal Care ,3.8,Mumbai,954,3.7k,41
Yokohama Off-Highway Tires,Auto Components ,3.6,Bharuch,956,4k,9
Jyothy Labs,FMCG ,4.1,Mumbai,954,2.1k,18
Hiranandani Financial Services,NBFC ,4.4,Mumbai,952,988,40
Episource,IT Services & Consulting ,3.9,Chennai,952,3.2k,--
Financial Software & Systems,Software Product ,3.6,Chennai,951,5.2k,11
VeeTechnologies,IT Services & Consulting ,3.9,Bengaluru,950,4.4k,34
Petrofac,Oil & Gas ,4.2,Chennai,948,2.4k,10
Mando Automotive,Auto Components ,4.0,Chennai,947,4.3k,--
Salcomp Manufacturing,Electronics Manufacturing ,4.0,Chennai,946,4.3k,--
Technip Energies,Engineering & Construction ,4.1,Noida,946,5k,50
Defence Research & Development Organisation,Defence & Aerospace ,4.5,Hyderabad,944,3.9k,--
Jubilant Pharmova,Pharma ,3.7,Noida,944,3.3k,39
Guidehouse,Management Consulting ,3.6,Chennai,942,5.4k,72
Shriram General Insurance,Insurance ,3.6,Jaipur,942,3k,24
National Payments Corporation of India,FinTech ,4.0,Mumbai,942,4.1k,34
KEI Industries,Electrical Equipment ,4.3,New Delhi,940,3.2k,--
Marsh McLennan,Management Consulting ,3.9,Mumbai,941,8.1k,3
BDR Pharmaceuticals International,Pharma ,4.1,Vadodara,945,2k,24
Skipper,Industrial Machinery ,3.8,Kolkata,938,3.1k,5
Astral Adhesives,Chemicals ,3.9,Ahmedabad,937,2.5k,--
Pramerica Life Insurance,Insurance ,3.7,Gurugram,937,2.4k,33
Amphenol Interconnect,Electrical Equipment ,4.3,Pune,936,3.7k,1
ICCS,BPO ,3.1,Noida,936,2.9k,3
Hathway,Telecom ,3.4,Mumbai,934,3.5k,11
Aristo Pharmaceuticals,Pharma ,4.0,Mumbai,933,2.5k,14
Velocis Systems,IT Services & Consulting ,3.8,New Delhi,933,5.2k,9
Adani Enterprises,Metals & Mining ,3.6,Ahmedabad,932,4.6k,1
Reliance Power,Power ,4.1,Singrauli,931,3.3k,4
Tikona Infinet,Telecom ,3.5,Mumbai,932,2.7k,4
FLSmidth,Industrial Machinery ,3.5,Chennai,930,4.1k,10
Timken,Industrial Machinery ,3.9,Jamshedpur,928,4.2k,4
Signify,Consumer Electronics & Appliances ,3.4,Bengaluru,929,4.3k,21
Jaro Education,EdTech ,3.2,Mumbai,927,2.2k,36
Naukri,Internet ,4.2,Noida,929,3.2k,64
Aircel,Telecom ,4.4,New Delhi,928,1.2k,--
Psp Projects,Engineering & Construction ,3.9,Ahmedabad,928,3k,18
SFO Technologies,Electronics Manufacturing ,3.4,Bengaluru,928,4.7k,37
Bhanzu,EdTech ,3.8,Bengaluru,924,1.2k,4
KMV Projects Limited,Engineering & Construction ,4.2,Hyderabad,924,2.2k,--
Knight Frank,Real Estate ,4.1,Mumbai,923,3.3k,2
Birla Opus,Chemicals ,4.0,Mumbai,923,2.1k,--
Test Yantra Software Solutions,IT Services & Consulting ,3.1,Bengaluru,920,25.5k,14
Xceedance,IT Services & Consulting ,3.6,Gurugram,919,6.2k,1
Bayer,Pharma ,4.1,Bengaluru,919,4.3k,--
Navayuga Engineering Company,Engineering & Construction ,3.9,Hyderabad,919,2.4k,7
Godfrey Phillips India,FMCG ,4.0,New Delhi,914,3.2k,--
Apotex Research,Pharma ,3.8,Bengaluru,914,2.8k,29
Sundaram Clayton,Auto Components ,3.9,Chennai,915,2.8k,--
Tafe Motors & Tractors,Industrial Machinery ,3.9,Bhopal,913,2.9k,--
GE Healthcare,Medical Equipment ,3.9,Bengaluru,911,5.9k,--
Deepak Fertilisers and Petrochemicals,Chemicals ,4.1,Mumbai,908,3.4k,13
Netscribes,Analytics & KPO ,2.7,Kolkata,909,3k,42
Sandhar Technologies,Auto Components ,3.8,Gurugram,908,3.5k,11
Volvo,Automobile ,4.0,Bengaluru,908,5.4k,7
Nityo Infotech,IT Services & Consulting ,3.3,Bengaluru,907,5k,43
Medha Servo Drives,Electrical Equipment ,4.2,Hyderabad,906,3.1k,11
Experis IT,Recruitment ,3.0,Bengaluru,905,3.5k,1
Nirma,FMCG ,4.2,Bhavnagar,903,3.1k,1
CIEL HR,Recruitment ,3.9,Bengaluru,904,3.1k,--
Neel Metal Products,Auto Components ,4.0,Gurugram,903,2.7k,--
Medhaj Techno Concept,Management Consulting ,3.9,Lucknow,901,2k,4
Egis India Consulting Engineers,Engineering & Construction ,4.2,Gurugram,903,2.3k,10
Schlumberger,Oil & Gas ,3.8,Pune,901,5.3k,39
HomeLane,Architecture & Interior Design ,3.3,Bengaluru,901,4.2k,98
SKH Metals,Auto Components ,4.0,Gurugram,901,2.8k,4
Aviva Life Insurance India,Insurance ,3.5,Gurugram,900,2.6k,22
Yashoda Hospitals,Healthcare ,3.9,Hyderabad,899,3.4k,29
Steag Energy Services,Power ,4.3,Jharsuguda,899,2.8k,9
OCS Group,Facility Management Services ,4.1,Mumbai,899,2.6k,12
LanceSoft,Recruitment ,3.2,Hyderabad,895,5.3k,5
Volkswagen,Automobile ,4.2,Pune,894,3k,--
Bosch Chassis Systems,Auto Components ,4.1,Pune,894,2.7k,--
Target,Retail ,4.0,Bengaluru,894,6.8k,118
Ashirvad Pipes,Building Material ,3.8,Bengaluru,892,2.9k,10
Re Sustainability Limited,Waste Management ,3.8,Hyderabad,891,3.1k,40
AJIO,Internet ,3.6,Bengaluru,891,2.6k,--
HT Media,Media & Entertainment ,3.1,New Delhi,891,4.7k,3
Michelin,Auto Components ,3.7,Pune,889,5k,41
Vedanta Resources,Metals & Mining ,3.7,Jharsuguda,889,4.8k,7
Alok Industries,Fashion & Textile ,3.5,Dadra & Nagar Haveli,889,3.3k,1
JSW Paints,Chemicals ,3.8,Mumbai,885,3.1k,1
BGR Energy Systems,Engineering & Construction ,3.8,Chennai,884,3.2k,--
Vijay Sales,Retail ,4.1,Mumbai,884,2.7k,2
Intellipaat Software Solutions,EdTech ,3.9,Bengaluru,883,2k,1
Musashi Auto Parts,Auto Components ,3.9,Rewari,883,2.9k,--
Updater Services,Facility Management Services ,3.7,Chennai,883,2.9k,27
Regulated Council of Immigration Consultants,Other ,4.9,Dubai,883,--,--
"Commonwealth Bank of Australia, India",Financial Services ,2.8,Bengaluru,883,7.6k,6
Orient Electric,Consumer Electronics & Appliances ,3.7,New Delhi,881,3.3k,8
TNQ Tech Private Limited,Printing & Publishing ,3.5,Chennai,880,4k,18
Marks & Spencer,Retail ,3.9,New Delhi,879,3.1k,48
Tata Chemicals,Chemicals ,3.9,Jamnagar,875,2.8k,6
FastInfo,Internet ,4.1,Kolkata,874,881,--
RAMTeCH Software Solutions,IT Services & Consulting ,3.6,Hyderabad,872,3.4k,9
ACL Digital,IT Services & Consulting ,3.6,Bengaluru,872,6.4k,94
MAS Financial Services,NBFC ,3.7,Ahmedabad,871,2.2k,58
Sona Comstar,Auto Components ,4.0,Gurugram,870,3.9k,--
Greenlam Industries,Furniture & Furnishing ,4.1,New Delhi,869,3k,9
Centum Electronics,Electronics Manufacturing ,3.5,Bengaluru,870,3.6k,8
Wakefit,Furniture & Furnishing ,4.0,Bengaluru,869,2.9k,19
Carborundum Universal Limited,Industrial Machinery ,3.7,Chennai,868,3.5k,--
C.R.I. Pumps,Industrial Machinery ,3.9,Coimbatore,869,2.7k,18
Tata Starbucks,Hospitality ,4.1,Mumbai,867,1.9k,350
Next Education India,EdTech ,3.2,Hyderabad,867,2.7k,55
Acme Cleantech Solutions,Power ,4.0,Gurugram,866,2.6k,16
Magna International,Auto Components ,3.8,Pune,862,5.6k,64
Athena BPO,BPO ,3.4,Mumbai,861,2.8k,--
Parekh Integrated Services,Logistics ,4.1,Mumbai,860,2.7k,26
Apar Industries,Semiconductors ,4.1,Mumbai,860,3.4k,1
National Health Mission,Healthcare ,3.4,Guwahati,860,2.3k,--
Future Focus Infotech,IT Services & Consulting ,3.4,Bengaluru,860,4.2k,--
WSP,Management Consulting ,4.2,Bengaluru,859,3.7k,30
Bechtel,Engineering & Construction ,3.9,Gurugram,859,3.6k,55
Zudio,Retail ,3.9,New Delhi,859,2k,--
Ageas Federal Life Insurance,Insurance ,3.4,Mumbai,858,2.3k,21
H&M,Fashion & Textile ,3.9,Bengaluru,857,3.1k,63
M3M India,Real Estate ,4.0,Gurugram,858,3.2k,--
Silaris Informations,BPO ,3.0,New Delhi,857,2.9k,--
Torry Harris Integration Solutions,IT Services & Consulting ,4.2,Bengaluru,858,4.6k,7
Shilpa Medicare,Pharma ,3.4,Hyderabad,856,3.8k,26
IDEMIA,Electronics Manufacturing ,3.8,Noida,856,3.7k,17
Precision Infomatic M Pvt Ltd,IT Services & Consulting ,3.8,Chennai,855,2.8k,11
Wipro PARI,Industrial Automation ,3.2,Pune,854,3.5k,17
Epsilon,Marketing & Advertising ,3.6,Bengaluru,852,7.3k,76
Porter,Internet ,3.5,Bengaluru,848,3.7k,76
Satya MicroCapital,NBFC ,3.7,New Delhi,851,2.1k,5
Fedbank Financial Services,NBFC ,4.0,Mumbai,851,3k,--
Panacea Biotec,Biotechnology ,3.6,Baddi,850,2.8k,19
Jaya Hind Industries,Auto Components ,3.7,Pune,849,2.7k,--
Serco,Analytics & KPO ,4.2,Mumbai,849,1.2k,--
Motherson Sumi Wiring,Electrical Equipment ,3.7,Noida,926,3.7k,--
MOURI Tech,IT Services & Consulting ,3.6,Hyderabad,848,6.2k,167
LEAD School,EdTech ,3.3,Mumbai,848,3.2k,--
Ups Logistics,Logistics ,3.6,Pune,848,4.3k,184
Mahindra First Choice Wheels,Internet ,3.8,Mumbai,847,3k,9
Tata Hitachi Construction Machinery,Industrial Machinery ,4.0,Kharagpur,846,3k,--
Truhome Finance,Financial Services ,3.7,Mumbai,845,2.6k,23
Rico Auto Industries,Auto Components ,3.8,Gurugram,844,3.5k,4
Nlb Services,Recruitment ,3.6,Noida,846,3.2k,--
Bank of India,Banking ,3.9,Mumbai,843,2.8k,--
Swaraj Tractors,Automobile ,4.0,Sahibzada Ajit Singh Nagar,844,2.9k,--
Parag Milk Foods,Food Processing ,4.0,Mumbai,844,2.6k,3
Impact Infotech Pvt. Ltd.,IT Services & Consulting ,3.4,Mumbai,842,2.7k,--
Nibav Lifts,Industrial Machinery ,4.0,Chennai,841,1.6k,151
Rohan Builders,Real Estate ,4.1,Pune,841,2.3k,41
India Shelter Finance Corporation,NBFC ,3.9,Gurugram,839,2.3k,5
Ather Energy,Automobile ,4.1,Bengaluru,840,4.4k,15
Mahindra Tractors,Automobile ,4.1,Nagpur,839,2.6k,--
KGISL,IT Services & Consulting ,3.0,Coimbatore,838,5.4k,33
Tata Power Solar,Power ,4.0,Bengaluru,838,3.1k,--
Shaktiman Tirth Agro Technology,Industrial Machinery ,3.9,Rajkot,838,3k,--
Alorica,BPO ,3.1,Bengaluru,836,3k,4
Guardian India,Insurance ,3.8,Chennai,834,4.4k,9
enGen Global,IT Services & Consulting ,3.9,Chennai,835,5.6k,31
Duck Creek Technologies,Software Product ,4.5,Mumbai,835,1.3k,27
Arvind Lifestyle Brands,Retail ,4.0,Bengaluru,833,2k,29
Sanden Vikas,Auto Components ,3.9,Faridabad,833,2.7k,--
AuthBridge Research Services,IT Services & Consulting ,3.2,Gurugram,832,3.2k,8
Royal Sundaram General Insurance,Insurance ,3.8,Chennai,833,2.9k,16
Casagrand,Real Estate ,3.8,Chennai,832,4.2k,67
Consolidated Contractors,Engineering & Construction ,4.2,Mumbai,834,1.3k,--
Fareportal,Internet ,3.1,Gurugram,831,3.5k,12
Union Bank of India,Banking ,3.8,Mumbai,830,2.7k,--
Feedback Infrastructure Services,Engineering & Construction ,3.4,Gurugram,829,2.4k,4
Victora Auto Private Limited,Auto Components ,4.0,Faridabad,829,3.3k,--
FIITJEE,Education & Training ,3.2,New Delhi,828,2k,--
HP India,Consumer Electronics & Appliances ,3.8,Bengaluru,828,5.8k,2
Clarivate,Analytics & KPO ,3.7,Bengaluru,826,6.4k,97
Lumen Technologies,Hardware & Networking ,3.9,Bengaluru,824,4k,12
Luxoft,IT Services & Consulting ,3.6,Bengaluru,823,5.1k,465
Punj Lloyd,Engineering & Construction ,3.9,Gurugram,821,1.5k,--
Greaves Cotton,Auto Components ,4.0,Chhatrapati Sambhajinagar,820,2.9k,9
Ford Business Solutions,IT Services & Consulting ,4.1,Chennai,822,4k,20
Sutherland Healthcare Solutions,Analytics & KPO ,3.7,Hyderabad,821,3.9k,--
Freshworks,Software Product ,3.4,Chennai,820,7.1k,86
Eris Lifesciences,Pharma ,3.6,Ahmedabad,820,2.4k,913
Metso,Metals & Mining ,4.1,Alwar,819,3.1k,12
Ramco Systems,Software Product ,3.8,Chennai,817,5.2k,3
Medusind Solutions,IT Services & Consulting ,3.4,Chennai,817,3k,32
Bpo Convergence,BPO ,3.4,Hyderabad,815,2.1k,8
Rockwell Automation,Industrial Automation ,3.7,Pune,814,5.7k,197
IBS Software Services,Software Product ,3.5,Kochi,815,6.5k,17
Baxter International,Healthcare ,3.8,Bengaluru,815,3.7k,44
UKG,Software Product ,3.0,Noida,814,6.1k,8
Teamware Solutions,Recruitment ,4.2,Hyderabad,815,3.2k,--
eTeam,Recruitment ,3.2,Bengaluru,811,3.6k,--
Poly Medicure,Medical Equipment ,3.5,Faridabad,814,2.9k,53
Forever Living Products,Fitness & Wellness ,4.3,Mumbai,813,1.6k,--
Qinecsa Solutions,Clinical Research ,2.8,Mysuru,805,3k,--
Artech Infosystems,Recruitment ,3.3,Bengaluru,810,3.9k,--
Rodic Consultants,Engineering & Construction ,4.2,Patna,809,1.9k,14
Huhtamaki,Packaging ,4.0,Mumbai,808,2.7k,11
DBG Technology,Electronics Manufacturing ,3.7,Rewari,808,2.1k,--
RR kabel,Electrical Equipment ,4.1,Vadodara,806,2.8k,--
Integra Software Services,IT Services & Consulting ,3.7,Puducherry,805,3.1k,18
Sunbeam Auto,Auto Components ,3.9,Gurugram,805,2.9k,--
Rashmi Group,Iron & Steel ,3.5,Kharagpur,802,3.2k,3
Vijaya Diagnostic Centre,Healthcare ,3.8,Hyderabad,802,2.1k,11
Nexdigm,Management Consulting ,3.7,Pune,833,3.4k,44
Linde India,Chemicals ,3.9,Vadodara,801,3.7k,--
Five-Star Business Finance,NBFC ,4.1,Chennai,803,2k,2
Investors Clinic,Real Estate ,3.6,Noida,801,1.6k,3
Zydus Healthcare,Pharma ,4.0,Mumbai,801,2.2k,--
Principal Global Services,Insurance ,3.6,Pune,800,5.9k,27
Fluor Corporation,Engineering & Construction ,4.1,Gurugram,796,1.8k,98
Syneos Health,Clinical Research ,3.6,Gurugram,797,3.6k,136
Border Security Force,Law Enforcement & Security ,4.4,New Delhi,797,1.4k,--
Bill Gosling Outsourcing India, ,3.5,Gurugram,797,2.9k,48
Advik Hi Tech,Auto Components ,3.7,Pune,797,3.1k,5
JK Paper,Pulp & Paper ,3.9,Rayagada,797,2.8k,2
Eveready Industries,Consumer Electronics & Appliances ,3.9,Kolkata,796,2.4k,6
Hitachi,Industrial Machinery ,3.9,Bengaluru,796,4.7k,33
Prama Hikvision India,Electronics Manufacturing ,3.6,Mumbai,793,3.1k,11
BDO,Accounting & Auditing ,3.2,Mumbai,796,5.7k,1
K Raheja Corp,Real Estate ,4.2,Mumbai,795,3.1k,32
Intex Technologies,Consumer Electronics & Appliances ,3.7,New Delhi,795,1.5k,5
Praj Industries,Biotechnology ,4.0,Pune,793,3.3k,13
PUMA,Fashion & Textile ,4.1,Bengaluru,793,2.6k,9
Zidio Development,IT Services & Consulting ,4.4,Bengaluru,793,106,--
Waaree Energies,Power ,4.0,Surat,790,3.3k,35
Zuventus Healthcare,Pharma ,3.9,Mumbai,789,2.2k,1
Qualitest,IT Services & Consulting ,3.6,Bengaluru,789,6.8k,10
Prince Pipes & Fittings,Building Material ,4.2,Mumbai,787,2.5k,17
Wipro Consumer Care & Lighting,FMCG ,3.7,Bengaluru,787,3.7k,5
